Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date),,
"3,77",SEB,3 år,14144,"3,5",7/1/2011,,
"3,77",Länsförsäkringar,3 månader,14 173,,,,
"3,77",Swedbank,2 år,14444,,,,
"3,77",Nordea,Rörlig,14 463,1800000,2011,,
"3,77",Swedbank,3 månader,14 572,,,,
"3,77",Swedbank,Rörlig,14 640,,,,
"3,77",SEB,3 månader,14 654,"1,9 mkr",20120328,,
"3,77",Nordea,3 månader,15 147,"1,5mkr",120301,,
"3,77",Swedbank,2 år,16471,"0,5",20100505,,
"3,77",Handelsbanken,3 månader,16 764,500000 kr,Sep-11,,
"3,77",Handelsbanken,Rörlig,16 771,3900000,rörligt,,
"3,77",Swedbank,3 år,16771,"1,2",Nov-11,,
"3,77",SEB,2 år,16873,,,,
"3,77",Nordea,Rörlig,17 078,"2,1",120212,,
"3,77",Handelsbanken,3 månader,17 264,"2,0mkr",120402,,
"3,77",Handelsbanken,3 månader,17 770,2,120401,,
"3,77",Skandiabanken,5 år,17771,,,,
"3,77",Handelsbanken,3 månader,18 130,,,,
"3,77",Handelsbanken,3 månader,18 146,"3,5",Mars 2012,,
"3,77",Handelsbanken,Rörlig,18 245,"4,7 mkr",mars 2012,,
"3,77",Handelsbanken,3 månader,18 263,,,,
"3,77",SEB,Rörlig,18 354,"1,2 mkr",20111010,,
"3,77",Handelsbanken,3 månader,18 356,"3,97",Jan-12,,
"3,77",Skandiabanken,Rörlig,18 450,,,,
"3,77",Handelsbanken,3 månader,18 452,"1,59 mkr",3/1/2012,,
"3,77",Swedbank,Rörlig,18 492,,,,
"3,77",Handelsbanken,3 månader,19 138,"4,2mkr",3/1/2012,,
"3,77",Nordea,Rörlig,19 140,1800000,4/1/2012,,
"3,77",Handelsbanken,3 månader,19 241,"4,0 mkr",Apr-12,,
"3,77",Handelsbanken,3 månader,19 451,,,,
"3,77",Handelsbanken,Rörlig,19 453,"2,1 mkr",obundet,,
"3,77",Handelsbanken,3 månader,19 467,,,,
"3,77",Handelsbanken,3 månader,19 467,,,,
"3,77",Handelsbanken,3 månader,23 131,"1,7",3/1/2012,,
"3,77",Handelsbanken,Rörlig,23 236,"2,8 mkr",rörligt,,
"3,77",Handelsbanken,3 år,23254,500000,2008,,
"3,77",Handelsbanken,3 år,23254,500000,2008,,
"3,77",SEB,3 år,23432,1,Apr-11,,
"3,77",Handelsbanken,Rörlig,23 435,"2,9 mkr",ej bundet,,
"3,77",Handelsbanken,3 månader,23 932,"3,5",2/1/2012,,
"3,77",Nordea,3 månader,24 460,"3,6 mkr",20120125,,
"3,77",Handelsbanken,Rörlig,25 655,"2,4 mkr",120301,,
"3,77",Swedbank,Rörlig,28 632,,,,
"3,77",Swedbank,3 månader,29 535,"0,7mkr",11/30/2011,,
"3,77",Handelsbanken,1 år,30234,,,,
"3,77",SEB,3 månader,33 152,"1,2 mkr",Apr-12,,
"3,77",SEB,4 år,35257,540000,8/17/2011,,
"3,77",Swedbank,3 månader,37 230,276000,20120201,,
"3,77",Handelsbanken,5 år,37450,,,,
"3,77",Swedbank,2 år,39360,"2,8 mkr",1/24/2012,,
"3,77",Swedbank,Rörlig,41 124,,,,
"3,77",Handelsbanken,Rörlig,41 133,,,,
"3,77",Handelsbanken,2 år,41267,"1,7mkr",juni 2011,,
"3,77",Handelsbanken,3 månader,41 270,,,,
"3,77",Swedbank,3 månader,41 309,,,,
"3,77",Handelsbanken,3 månader,41 317,1000000,3/1/2012,,
"3,77",SEB,3 månader,41 651,,,,
"3,77",SEB,Rörlig,41 652,"2,5 mkr",Jan-12,,
"3,77",Swedbank,Rörlig,41 760,"1,55",2008,,
"3,77",Handelsbanken,3 månader,41 764,3 mkr,3/1/2012,,
"3,77",Nordea,3 månader,41 877,"1,8",juni 2011,,
"3,77",Swedbank,Rörlig,42 355,300000,Maj 1998,,
"3,77",Swedbank,3 månader,42 436,,,,
"3,77",Swedbank,3-7 år,43246,"2,8 mkr",20111229,,
"3,77",Handelsbanken,2 år,43643,"1,5",2011,,
"3,77",Handelsbanken,3 månader,43 905,"2,1 mkr",3/1/2012,,
"3,77",Handelsbanken,3 år,43931,,,,
"3,77",Handelsbanken,3 månader,44 160,"2,3 mkr",90612,,
"3,77",Handelsbanken,3 månader,44 241,"1,3",3/3/2012,,
"3,77",SEB,Rörlig,51 154,"1,7 mkr",Dec-10,,
"3,77",Swedbank,5 år,51533,700000,120120,,
"3,77",SEB,3 månader,51 840,"2,0 Mkr",20120328,,
"3,77",Handelsbanken,5 år,57395,"0,64 mkr",9/15/2010,,
"3,77",Handelsbanken,Rörlig,58 233,,,,
"3,77",Handelsbanken,3 månader,58 237,,,,
"3,77",Handelsbanken,3 månader,58 246,"2,2 mkr",Februari 2008,,
"3,77",Swedbank,Rörlig,61 139,500000,20110202,,
"3,77",SEB,Rörlig,65 342,,,,
"3,77",SEB,Rörlig,65 342,,,,
"3,77",SEB,Rörlig,65 591,,,,
"3,77",Handelsbanken,3 månader,70 216,"2,8 mkr",3/1/2012,,
"3,77",SEB,Rörlig,70 285,"2,1",februari2012,,
"3,77",Handelsbanken,3 månader,70 376,"1,8 mkr",20120201,,
"3,77",Handelsbanken,3 månader,70 591,"1,6 mkr",Mars 2012,,
"3,77",Handelsbanken,3 månader,72 470,121000,9/1/2010,,
"3,77",Handelsbanken,3 månader,72 481,,,,
"3,77",Handelsbanken,3 månader,72 482,"2,7",mars 2012,,
"3,77",Handelsbanken,Rörlig,73 832,650000,2011,,
"3,77",Länsförsäkringar,Rörlig,74 193,,,,
"3,77",SEB,3 månader,74 593,,,,
"3,77",Handelsbanken,3 månader,75 224,"2,3 mkr",20120115,,
"3,77",Handelsbanken,Rörlig,75 226,,,,
"3,77",Handelsbanken,3 månader,75 312,,,,
"3,77",SBAB,3 månader,75 313,,,,
"3,77",Danske Bank,Rörlig,75 653,"3,3 mkr",rörligt,,
"3,77",Handelsbanken,1 år,76164,500 kkr,3/30/2011,,
"3,77",Handelsbanken,3 månader,77 192,400000,4/1/2012,,
"3,77",Swedbank,3 månader,79 142,1650000,1/31/2012,,
"3,77",Swedbank,Rörlig,80 280,,,,
"3,77",Handelsbanken,3 år,80598,10000000,100405,,
"3,77",Handelsbanken,3 månader,81 391,,,,
"3,77",Swedbank,Rörlig,83 015,,,,
"3,77",Handelsbanken,3 månader,83 241,650000,3/1/2012,,
"3,77",Handelsbanken,3 månader,83 344,1650000,20120301,,
"3,77",Handelsbanken,3 månader,90 323,"0,83 mkr",20120201,,
"3,77",Handelsbanken,3 månader,90 365,"1,7",20110101,,
"3,77",Länsförsäkringar,2 år,91341,"1,2",20120401,,
"3,77",Swedbank,3 månader,95 251,,,,
"3,77",SBAB,3 månader,97 437,"0,8 mkr",10/1/2011,,
"3,77",Handelsbanken,2 år,11216,"0""",,,
"3,77",Handelsbanken,3 månader,11343,"0""","2,2",4/3/2012,
"3,77",Swedbank,3 månader,14572,"0""",700000,20120210,
"3,77",Swedbank,3 månader,14572,"0""",700000,2/10/2012,
"3,77",Handelsbanken,3 månader,16756,"0""","2,1",Mars 2012,
"3,76",SEB,3 månader,11 152,"2,8 mkr",3/2/2012,,
"3,76",SEB,Rörlig,11 225,2,3/20/2012,,
"3,76",SEB,3 månader,11 234,"495.0""0","00""",Januari 2008,
"3,76",Handelsbanken,3 månader,11246,2600000,Apr-12,,
"3,76",SEB,3 månader,11 320,686500,vet ej,,
"3,76",SEB,3 månader,11 320,686500,vet ej,,
"3,76",Nordea,Rörlig,11 327,4150000,120203,,
"3,76",Handelsbanken,1 år,11329,"1,788 mkr",5/4/2011,,
"3,76",SEB,3 månader,11 355,,,,
"3,76",SEB,Rörlig,11 444,"1,09 mkr",Februari 2012,,
"3,76",SEB,3 månader,11 458,"2,5 mkr",9/10/2009,,
"3,76",SEB,3 månader,11 522,602 tkr,mars 2012,,
"3,76",SEB,3 månader,11 527,,,,
"3,76",SEB,3 månader,11 528,,,,
"3,76",SEB,3 månader,11 624,4 mkr,111227,,
"3,76",Danske Bank,3 månader,11 628,,,,
"3,76",Danske Bank,3 månader,11 628,"1,9",mars 2012,,
"3,76",SEB,2 år,11828,251000,6/28/2011,,
"3,76",SEB,Rörlig,11 842,600000,20111031,,
"3,76",Swedbank,3 år,11850,400000,Apr-09,,
"3,76",Handelsbanken,3 månader,11 853,"2,2 mkr",20120301,,
"3,76",SEB,3 månader,11 860,"0,3 mkr",Mars 2012,,
"3,76",SEB,3 månader,11 860,"0,3 mkr",Mars 2012,,
"3,76",SEB,3 månader,12 048,"1,15 mkr",februari 2012,,
"3,76",SEB,3 månader,12 068,,,,
"3,76",Swedbank,Rörlig,12 071,"1,2",120128,,
"3,76",Handelsbanken,Rörlig,12 145,"1,1 mkr",aldrig,,
"3,76",SEB,3 månader,12 150,600000,120320,,
"3,76",SEB,3 månader,12 153,"1,4 milj",90401,,
"3,76",SEB,3 månader,12 248,2,Februari 2012,,
"3,76",SEB,3 månader,12 260,"0,16",mars 2012,,
"3,76",SEB,3 månader,12 541,"4,6",120228,,
"3,76",SEB,3 månader,12 647,"2,5 mkr",Dec-11,,
"3,76",SEB,3 månader,12 844,387000,januari 2012,,
"3,76",SEB,3 månader,12 862,"1,03mkr",111229,,
"3,76",SEB,3 månader,12 862,"1,03mkr",Nov-11,,
"3,76",SEB,Rörlig,12 930,"1,38",2011,,
"3,76",SEB,3 månader,12 940,,,,
"3,76",SEB,3 månader,13 137,"1,53",mars 2012,,
"3,76",SEB,3 månader,13 236,"1,323 mkr",100302,,
"3,76",SEB,2 år,13247,,,,
"3,76",SEB,3 månader,13 336,,,,
"3,76",SEB,3 månader,13 537,2 mkr,3/21/2012,,
"3,76",Swedbank,3 månader,13 547,,,,
"3,76",SEB,3 månader,13 550,500000,20111227,,
"3,76",SEB,3 månader,13 560,"2,6 mkr",1/29/2012,,
"3,76",SEB,Rörlig,13 561,,,,
"3,76",SEB,3 månader,13 673,"2,0 mkr",4/1/2011,,
"3,76",Handelsbanken,3 månader,13 768,1100000,20120130,,
"3,76",SEB,3 månader,13 836,"2,8 mkr",10/1/2011,,
"3,76",SEB,3 månader,13 837,"3,7 mkr",Apr-08,,
"3,76",Handelsbanken,2 år,13933,3070000,120301,,
"3,76",SEB,Rörlig,14 137,,,,
"3,76",SEB,3 månader,14 140,,,,
"3,76",SEB,3 månader,14 191,"1,6 mkr",120320,,
"3,76",SEB,Rörlig,14 462,522 tusen,3/21/2012,,
"3,76",SEB,Rörlig,14 462,522 tusen,20120321,,
"3,76",SEB,3 månader,14 731,"2,7 mkr",120331,,
"3,76",SEB,3 månader,14 746,,,,
"3,76",SEB,3 månader,15 148,"1,05 mkr",20110630,,
"3,76",SEB,Rörlig,16 355,"0,9",20101201,,
"3,76",SEB,3 månader,16 572,2664700,1/28/2012,,
"3,76",SEB,3 månader,16 576,,,,
"3,76",Handelsbanken,3 månader,16 732,"1,3",Mars 2012,,
"3,76",SEB,Rörlig,16 753,"2,5",111128,,
"3,76",SEB,Rörlig,16 753,"2,5",111128,,
"3,76",SEB,3 månader,16 830,,,,
"3,76",Handelsbanken,2 år,16860,,,,
"3,76",SEB,3 månader,16 973,,,,
"3,76",SEB,3 månader,17 069,"1,45",3/21/2012,,
"3,76",SEB,3 månader,17 071,"1,1mkr",20100901,,
"3,76",SEB,3 månader,17 144,,,,
"3,76",SEB,3 månader,17 152,,,,
"3,76",SEB,3 månader,17 159,,,,
"3,76",SEB,Rörlig,17 761,,,,
"3,76",SEB,Rörlig,17 770,,,,
"3,76",Handelsbanken,2 år,17838,"3,025 mkr",Februari 2012,,
"3,76",SEB,2 år,17839,"3,5 mkr",5/28/2010,,
"3,76",Handelsbanken,3 månader,18 130,"1,8",Apr-11,,
"3,76",SEB,Rörlig,18 136,,,,
"3,76",SEB,Rörlig,18 147,"3,2 mkr",-,,
"3,76",SEB,3 månader,18 161,,,,
"3,76",SEB,3 månader,18 161,,,,
"3,76",SEB,3 månader,18 161,,,,
"3,76",SEB,3 månader,18 161,,,,
"3,76",SEB,3 månader,18 161,"1,3 mkr",12/20/2011,,
"3,76",SEB,3 månader,18 161,"1,3 mkr",12/20/2011,,
"3,76",SEB,3 månader,18 163,,,,
"3,76",SBAB,3 månader,18 164,"2,5",120401,,
"3,76",Handelsbanken,Rörlig,18 230,"3,2 mkr",2/1/2012,,
"3,76",SEB,3 månader,18 248,,,,
"3,76",Skandiabanken,2 år,18254,,,,
"3,76",SEB,Rörlig,18 264,,,,
"3,76",SEB,Rörlig,18 264,350000,120401,,
"3,76",SEB,Rörlig,18 275,,,,
"3,76",SEB,Rörlig,18 352,"13.0""0","00""",inte bundet,
"3,76",SEB,3 månader,18 354,,,,
"3,76",SEB,3 månader,18 354,,,,
"3,76",SEB,3 månader,18 365,"1,6 mkr",januari 2012,,
"3,76",SEB,3 månader,18 460,,,,
"3,76",SEB,3 månader,18 551,"1,5 mkr",3/21/2012,,
"3,76",SEB,3 månader,18 765,,,,
"3,76",Nordea,Rörlig,19 255,"2,5mkr",Dec-11,,
"3,76",SEB,Rörlig,19 332,400,rörligt,,
"3,76",SEB,3 månader,19 468,,,,
"3,76",SEB,3 månader,22 354,,,,
"3,76",SEB,Rörlig,22 354,1 mkr,Rörlig,,
"3,76",Nordea,3 månader,22 363,4800000,Februari 2012,,
"3,76",Skandiabanken,3 månader,22 650,600000,20120401,,
"3,76",SEB,3 månader,23 191,,,,
"3,76",SEB,3 månader,23 193,"1,7",20111001,,
"3,76",SEB,3 månader,24 133,"0,9",11100330,,
"3,76",SEB,Rörlig,24 139,"1,36",10/1/2011,,
"3,76",SEB,3 månader,24 230,,,,
"3,76",SEB,3 månader,24 745,,,,
"3,76",SEB,3 månader,25 284,"0,4",1/1/2005,,
"3,76",Swedbank,3 månader,29 141,3200000,120230,,
"3,76",SBAB,2 år,29632,950000,20111205,,
"3,76",SEB,3 månader,30 237,,,,
"3,76",SEB,3 månader,30 240,587475,20110201,,
"3,76",SEB,3 månader,30 240,555320,20120201,,
"3,76",SEB,Rörlig,31 196,539880,Rörlig,,
"3,76",Nordea,Rörlig,33 533,"2,1",120303,,
"3,76",Handelsbanken,3 år,35235,1000000,20120229,,
"3,76",SEB,3 månader,37 030,"2,3 mkr",Februari 2012,,
"3,76",Swedbank,3 månader,37 491,"0,9 mkr",120301,,
"3,76",SEB,3 månader,41 114,"0,1 mkr",3/28/2012,,
"3,76",Handelsbanken,3 månader,41 728,"2,5 mkr",Apr-12,,
"3,76",SEB,Rörlig,41 760,,,,
"3,76",Handelsbanken,3 månader,42 655,,,,
"3,76",Swedbank,3 månader,43 167,,,,
"3,76",SEB,Rörlig,43 361,823500,3/28/2012,,
"3,76",SEB,3 månader,43 652,"2,5 mkr",2010,,
"3,76",SEB,3 månader,43 736,"2,1",120321,,
"3,76",SEB,3 månader,43 892,1660000,20120228,,
"3,76",SEB,3 månader,44 254,"2,95 mkr",3/28/2012,,
"3,76",SEB,3 månader,44 291,2,2/15/2012,,
"3,76",SEB,Rörlig,44 442,"1,1",20120315,,
"3,76",SEB,Rörlig,44 493,,,,
"3,76",SEB,Rörlig,44 496,2.0 mkr,Oktober 2007,,
"3,76",Swedbank,3 månader,44 636,"1,23 Mkr",120316,,
"3,76",SBAB,3 år,44741,,,,
"3,76",SEB,3 månader,45 260,280000,121231,,
"3,76",SEB,3 månader,45 592,,,,
"3,76",SEB,3 månader,45 661,,,,
"3,76",SEB,Rörlig,46 144,,,,
"3,76",SEB,3 månader,46 834,,,,
"3,76",SEB,3 månader,51 931,,,,
"3,76",SEB,Rörlig,58 219,,,,
"3,76",SEB,Rörlig,58 221,"0,865 mkr",20120101,,
"3,76",Swedbank,3 månader,60 217,"3,7 mkr",Mars 2012,,
"3,76",SEB,3 månader,61 072,"0,85 mkr",?,,
"3,76",SEB,3 månader,61 176,"1,4",2011,,
"3,76",SEB,3 månader,61 176,"1,4",2011,,
"3,76",SEB,3 månader,61 991,,,,
"3,76",SEB,3 månader,62 199,500000,1/28/2012,,
"3,76",Handelsbanken,3 månader,65 346,"1,1 mkr",3/1/2012,,
"3,76",SEB,3 månader,69 135,400000,20070614,,
"3,76",SEB,Rörlig,69 136,400000,20070614,,
"3,76",SEB,3 månader,69 145,,,,
"3,76",SEB,3 månader,69 238,320000 kr,20100425,,
"3,76",SEB,2 år,70225,"0,96",2010.09.10,,
"3,76",SEB,3 månader,70 354,286000,Januari 2012,,
"3,76",Swedbank,3 år,71192,1950000,3/26/2012,,
"3,76",SEB,Rörlig,75 237,,,,
"3,76",SEB,3 månader,75 264,,,,
"3,76",SEB,3 månader,75 320,,,,
"3,76",SEB,3 månader,75 652,136000,120321,,
"3,76",SEB,1 år,76293,457000,Dec-12,,
"3,76",Swedbank,Rörlig,77 461,190000,rörligt,,
"3,76",SEB,3 månader,79 091,"0,1 mkr",Minns ej,,
"3,76",SEB,3 månader,79 137,"1,2 mkr",mars 2005,,
"3,76",SEB,3 månader,11239,"0""","5,1",3/20/2012,
"3,76",SBAB,2 år,11629,"0""","1,8",2011,
"3,76",Handelsbanken,2 år,11853,"0""",2273750,Sep-11,
"3,76",SEB,Rörlig,13463,"0""",,,
"3,76",SEB,3 månader,17270,"0""",1269270,11/1/2008,
"3,76",SEB,2 år,18137,"0""",,,
"3,76",SEB,3 månader,41137,"0""",,,
"3,76",Nordea,5 år,44370,"0""","3,2 mkr",Oktober 2010,
"3,76",SEB,3 månader,75223,"0""",942050,Sep-10,
"3,76",SEB,Rörlig,75223,"0""",942050,Sep-10,
"3,75",Länsförsäkringar,3 månader,11 216,4000000,Apr-12,,
"3,75",SEB,3 månader,11 229,,,,
"3,75",Nordea,Rörlig,11 235,"2,2 mkr",Mars 2012,,
"3,75",Swedbank,Rörlig,11 236,2460000,nej,,
"3,75",Danske Bank,Rörlig,11 236,"1,95 mkr",Juni 2008,,
"3,75",Nordea,1 år,11245,"2,6",Maj 2011,,
"3,75",Nordea,2 år,11245,"1,5 mkr",111020,,
"3,75",Handelsbanken,1 år,11246,,,,
"3,75",Swedbank,3 månader,11 246,"2,0 mkr",120330,,
"3,75",Swedbank,3 år,11253,"2,8 mkr",110201,,
"3,75",Handelsbanken,3 månader,11 255,,,,
"3,75",Nordea,Rörlig,11 255,"1,8 mkr",20120215,,
"3,75",Nordea,Rörlig,11 266,1513000,20120331,,
"3,75",Nordea,2 år,11267,"0,75",februari 2012,,
"3,75",Skandiabanken,Rörlig,11 269,"1,725 mkr",-,,
"3,75",Nordea,3 månader,11 320,"2,15",20090801,,
"3,75",Nordea,2 år,11326,3315000,111230,,
"3,75",Handelsbanken,3 månader,11 329,"2,25 mkr",20120301,,
"3,75",Nordea,3 år,11333,"1,1 mkr",12/3/2013,,
"3,75",Handelsbanken,2 år,11335,"4,8 mkr",100201,,
"3,75",Swedbank,3 månader,11 349,,,,
"3,75",Länsförsäkringar,3 månader,11 349,"1,4 mkr",110401,,
"3,75",Swedbank,3 månader,11 362,,,,
"3,75",Nordea,Rörlig,11 362,,,,
"3,75",Danske Bank,Rörlig,11 422,"3,6 mkr",oktober 2008,,
"3,75",Skandiabanken,3 månader,11 426,"3,525",Maj 2005,,
"3,75",Danske Bank,Rörlig,11 432,"3,2 mkr",4/3/2012,,
"3,75",Handelsbanken,3 månader,11 457,"4,8 mkr",3/30/2012,,
"3,75",SEB,Rörlig,11 526,250000,rörligt,,
"3,75",Swedbank,3 månader,11 535,"1,3 Mkr. ",120202,,
"3,75",SEB,2 år,11543,"1,4 mkr",6/10/2011,,
"3,75",Danske Bank,3 månader,11 550,,,,
"3,75",Danske Bank,3 månader,11 620,2150000,20120301,,
"3,75",SEB,3 månader,11 624,"3,2 mkr",Mars 2012,,
"3,75",Nordea,3 månader,11 625,"9,74",1112-06,,
"3,75",SEB,3 månader,11 625,2730000,120303,,
"3,75",Nordea,3 månader,11 631,4 mkr,3/1/2012,,
"3,75",Danske Bank,Rörlig,11 639,"2,0 mkr",5/20/2009,,
"3,75",Swedbank,3 år,11661,,,,
"3,75",Nordea,3 månader,11 726,"1,4 mkr",120328,,
"3,75",Nordea,Rörlig,11 728,2865000, n/a,,
"3,75",Handelsbanken,3 månader,11 741,,,,
"3,75",Danske Bank,Rörlig,11 756,1550000,9/8/2009,,
"3,75",SEB,3 månader,11 757,,,,
"3,75",Swedbank,Rörlig,11 765,,,,
"3,75",Handelsbanken,1 år,11765,,,,
"3,75",Handelsbanken,1 år,11765,,,,
"3,75",Swedbank,3 månader,11 765,730000,20120301,,
"3,75",SBAB,2 år,11857,"3,7 mkr",Augusti 2011,,
"3,75",Swedbank,3 månader,11 862,,,,
"3,75",Nordea,Rörlig,11 864,,,,
"3,75",Swedbank,3 månader,12 039,,,,
"3,75",Swedbank,3 månader,12 039,"2,4 mkr",6/28/2011,,
"3,75",Länsförsäkringar,3 månader,12 063,3174000,120307,,
"3,75",Swedbank,3 år,12136,"1,6 mkr",9/25/2010,,
"3,75",Länsförsäkringar,3 år,12150,475,juli 2009,,
"3,75",Handelsbanken,5 år,12242,"4,6",4/16/2010,,
"3,75",Nordea,3 månader,12 343,,,,
"3,75",Länsförsäkringar,3 månader,12 558,"3,4 mkr",120401,,
"3,75",Skandiabanken,Rörlig,12 633,2608000,ej bundet,,
"3,75",Danske Bank,Rörlig,12 838,"3,4",110510,,
"3,75",Danske Bank,3 månader,13 133,"1,5 mkr",1/10/2012,,
"3,75",Danske Bank,Rörlig,13 133,"2,5",Mars 2006,,
"3,75",Swedbank,3 månader,13 171,,,,
"3,75",SEB,3 månader,13 173,2 mkr,3/21/2012,,
"3,75",Nordea,2 år,13231,"0,5 mkr",Nov-11,,
"3,75",Swedbank,2 år,13237,"2,2",Oktober 2011,,
"3,75",SEB,3 månader,13 239,"1,0 mkr",Feb-12,,
"3,75",Danske Bank,Rörlig,13 246,,,,
"3,75",Danske Bank,Rörlig,13 339,,,,
"3,75",Nordea,2 år,13439,425000,Januari 2010,,
"3,75",SEB,3 månader,13 442,,,,
"3,75",Nordea,Rörlig,13 443,"1,5",2012,,
"3,75",Handelsbanken,2 år,13675,"3,2",4/30/2010,,
"3,75",Nordea,2 år,13691,900000,mars 2012,,
"3,75",Handelsbanken,Rörligt med räntetak 5 år,13738,1000000,100930,,
"3,75",SEB,3 månader,13 833,400000 kr,2011,,
"3,75",Swedbank,3 månader,13 934,4000000,20120328,,
"3,75",Danske Bank,Rörlig,14 132,"2,4 mkr",120125,,
"3,75",Swedbank,Rörlig,14 132,600000,Sep-11,,
"3,75",Nordea,3 månader,14 145,"3,3",4/6/2011,,
"3,75",Danske Bank,Rörlig,14 170,"1,16 mkr",Rörligt,,
"3,75",Nordea,Rörlig,14 192,"3,5",100129,,
"3,75",Nordea,Rörlig,14 264,,,,
"3,75",Nordea,Rörlig,14 452,"1,0 mkr",201111,,
"3,75",Nordea,3 år,14650,1000000,6/25/2011,,
"3,75",SEB,3 månader,14 732,,,,
"3,75",Nordea,3 månader,14 935,,,,
"3,75",Nordea,3 månader,14 945,"3,2 mkr",2/21/2012,,
"3,75",Danske Bank,3 månader,15 395,"2,2mkr",2001,,
"3,75",Swedbank,3 månader,15 530,"1,1",120404,,
"3,75",SEB,3 månader,16 244,850000,februari 2012,,
"3,75",Nordea,2 år,16448,,,,
"3,75",Handelsbanken,3 månader,16 572,,,,
"3,75",Danske Bank,Rörlig,16 738,"1,55 mkr",Dec-10,,
"3,75",Danske Bank,Rörlig,16 758,,,,
"3,75",Handelsbanken,2 år,16837,850000,2011/10,,
"3,75",SEB,1 år,16855,,,,
"3,75",Handelsbanken,5 år,16866,"2,5mkr",20101115,,
"3,75",Handelsbanken,3 månader,16 874,,,,
"3,75",Danske Bank,Rörlig,16 877,"1,1 mkr",inte bundet,,
"3,75",Nordea,3 månader,16 931,2400000,mars 2012,,
"3,75",Handelsbanken,5 år bundet med räntetak,16 936,2 mkr,Dec-10,,
"3,75",Swedbank,2 år,16940,"2,25",Dec-10,,
"3,75",Danske Bank,Rörlig,17 069,"1,8 mkr",101215,,
"3,75",Nordea,3 månader,17 149,"2,0 mkr",Mars 2012,,
"3,75",Swedbank,3 månader,17 230,,,,
"3,75",Swedbank,3 månader,17 234,"1,85",Mars 2012,,
"3,75",Danske Bank,Rörlig,17 266,"1,25 mkr",Apr-08,,
"3,75",Nordea,1 år,17274,"2,05mkr",110627,,
"3,75",Nordea,1 år,17274,"2,05mkr",110627,,
"3,75",SEB,3 månader,17 441,"4,4",120402,,
"3,75",Swedbank,3 månader,17 462,,,,
"3,75",Swedbank,5 år,17462,4100000,Februari 2012,,
"3,75",Swedbank,2 år,17568,"2,2 mkr",20120115,,
"3,75",SEB,3 månader,17 761,,,,
"3,75",Nordea,3 månader,17 851,3 mkr,6/1/2012,,
"3,75",Swedbank,3 månader,17 891,3 mkr,20120228,,
"3,75",Länsförsäkringar,2 år,18132,"4,0 mkr",Dec-11,,
"3,75",Nordea,3 månader,18 140,,,,
"3,75",Danske Bank,Rörlig,18 157,"1,55",20070915,,
"3,75",Swedbank,3 månader,18 164,,,,
"3,75",Swedbank,3 månader,18 164,,,,
"3,75",Swedbank,3 månader,18 164,,,,
"3,75",Danske Bank,Rörlig,18 262,"4,3 mkr",20061015,,
"3,75",Swedbank,2 år,18351,1 mkr,Nov-11,,
"3,75",Danske Bank,Rörlig,18 352,"1,4 mkr",juli 1997,,
"3,75",SEB,3 månader,18 354,"1,1 mkr",20111128,,
"3,75",Danske Bank,Rörlig,18 357,"2,8",ej bundet,,
"3,75",Nordea,3 år,18361,,,,
"3,75",Nordea,Rörlig,18 379,"1,2",Juni 2010,,
"3,75",Handelsbanken,2 år,18434,,,,
"3,75",SEB,Rörlig,18 595,,,,
"3,75",Danske Bank,Rörlig,18 733,"3,1",4/3/2012,,
"3,75",Nordea,3 månader,18 750,"2,7",120301,,
"3,75",Danske Bank,Rörlig,18 751,,,,
"3,75",Handelsbanken,3 månader,18 773,,,,
"3,75",Swedbank,3 månader,18 773,"4,7",Februari 2012,,
"3,75",Nordea,3 månader,19 135,"3,5 mkr",Januari 2012,,
"3,75",Swedbank,3 månader,19 138,"3,5 mkr",3/28/2012,,
"3,75",Swedbank,Rörlig,19 143,,,,
"3,75",Länsförsäkringar,5 år,19163,"0,3",Juni 2010,,
"3,75",Swedbank,Rörlig,19 255,,,,
"3,75",Swedbank,2 år,19340,738000,Sep-11,,
"3,75",Swedbank,2 år,19340,320000,Sep-11,,
"3,75",Swedbank,3 månader,19 438,,,,
"3,75",Nordea,3 månader,19 452,,,,
"3,75",Swedbank,3 månader,19 465,"1,3 mkr",mars 2012,,
"3,75",SEB,3 månader,19 592,,,,
"3,75",SEB,3 månader,19 593,0.55 mkr,2/29/2012,,
"3,75",Swedbank,3 månader,19 793,"2,0 mkr",Apr-12,,
"3,75",Handelsbanken,10 år,21137,"3,6",1/27/2012,,
"3,75",Swedbank,3 månader,21 217,850000,20120328,,
"3,75",Nordea,3 år,21242,477000,3/23/2012,,
"3,75",Danske Bank,Rörlig,21 755,"2,1",12.04.01,,
"3,75",Nordea,1 år,22240,5066565,20080601,,
"3,75",Nordea,Rörlig,22 473,454000,1/1/2012,,
"3,75",Swedbank,Rörlig,22 651,"2,4 mkr",Mars 2012,,
"3,75",Swedbank,2 år,22652,"0,45 mkr",111101,,
"3,75",Handelsbanken,1 år,23433,1 mkr,4/30/2011,,
"3,75",Handelsbanken,5 år,23535,"3,25 mkr",20101125,,
"3,75",Nordea,2 år,23832,"0,5 mkr",mars 2012,,
"3,75",Länsförsäkringar,2 år,23836,"0,6 mkr",9/15/2011,,
"3,75",Swedbank,Rörlig,24 542,800000,120310,,
"3,75",Handelsbanken,3 månader,24 564,,,,
"3,75",Handelsbanken,3 månader,25 267,,,,
