Ränta (rate),Bank,Bindningstid (loan duration),Postnummer (ZIP),Hur stort är ditt bolån (amount),När band du lånet (start date),,
"5,03",SBAB,5 år,96299,600000,juni 2007,,
"5,02",SBAB,3 månader,13 757,"0,56 mkr",1/12/2012,,
"5,02",Swedbank,5 år,38334,700000,71020,,
"5,02",Länsförsäkringar,Rörlig,39 233,"1,4 mkr",0,,
"5,02",Swedbank,3 månader,44 641,490956,130124,,
"5,01",Swedbank,5 år,14231,800000,8/25/2007,,
"5,01",Swedbank,5 år,43740,"1,8",2007,,
"4,99",Swedbank,5 år,33432,620000,80124,,
"4,99",Handelsbanken,3 månader,44 453,,,,
"4,99",Swedbank,5 år,56733,500000,110113,,
"4,99",Handelsbanken,5 år,58950,700000,111101,,
"4,99",Swedbank,10 år,59036,337000,augusti 2007,,
"4,99",SEB,Rörlig,60 595,500000,augusti 2010,,
"4,99",Swedbank,5 år,70592,"0,32",11/25/2010,,
"4,99",Swedbank,3 månader,78 050,212,Aug-07,,
"4,99",Handelsbanken,5 år,93151,417kkr,6/30/2007,,
"4,99",Swedbank,5 år,97753,"1,3 mkr",70603,,
"4,97",Nordea,5 år,21573,238000,Nov-08,,
"4,97",Nordea,3 år,54493,,,,
"4,97",Swedbank,5 år,75226,760000,Augusti 2007,,
"4,96",Handelsbanken,5 år,11825,1,9/20/2007,,
"4,96",SEB,5 år,54017,343125,10/29/2010,,
"4,95",Swedbank,5 år,15252,"2,1",20071016,,
"4,95",Handelsbanken,3 månader,16 954,,,,
"4,95",Swedbank,5 år,17170,,,,
"4,95",Swedbank,3 år,18432,"1,5",2011,,
"4,95",Swedbank,5 år,22227,"0,3",20070625,,
"4,95",Swedbank,10 år,26060,500000,Nov-10,,
"4,95",Handelsbanken,Rörlig,29 631,,,,
"4,95",Swedbank,5 år,43742,500,20070625,,
"4,95",Swedbank,5 år,43742,500,20070625,,
"4,95",Swedbank,Rörlig,44 294,,,,
"4,95",Nordea,1 år,56233,"1,1mkr",9/12/2011,,
"4,95",Handelsbanken,5 år,57178,"1,4",9/29/2007,,
"4,95",Handelsbanken,10 år,60365,1550000,maj 2007,,
"4,95",Nordea,5 år,61490,,,,
"4,95",Länsförsäkringar,5 år,83693,715000,20110811,,
"4,95",Handelsbanken,3 månader,93 145,,,,
"4,94",Handelsbanken,3 månader,16 973,867500,Juni 2007,,
"4,94",Handelsbanken,5 år,56136,,,,
"4,94",Nordea,3 år,59349,,,,
"4,93",Skandiabanken,5 år,11856,2660000,Mars 2008,,
"4,92",Swedbank,10 år,42676,3mkr,Apr-08,,
"4,92",Swedbank,5 år,44734,"0,8mkr",Dec-07,,
"4,92",Swedbank,10 år,56635,"1,6",81111,,
"4,91",SEB,3 månader,11 429,"1,8",20120115,,
"4,91",Skandiabanken,Rörlig,19 253,,,,
"4,9",Swedbank,5 år,11767,"1,6",Sep-07,,
"4,9",Swedbank,Rörlig,12 062,"0,9 mkr",maj 2008,,
"4,9",Handelsbanken,8 år,12134,200000,Apr-07,,
"4,9",Swedbank,10 år,30292,"2,0 mkr",60804,,
"4,9",Swedbank,10 år,33142,"1,6mkr",20061215,,
"4,9",Nordea,3 år,54493,,,,
"4,9",Nordea,3 år,54493,,,,
"4,9",Länsförsäkringar,Rörlig,57 003,305000,111206,,
"4,9",Länsförsäkringar,Rörlig,59 080,,,,
"4,9",Nordea,3 år,60222,1000000,110525,,
"4,9",Handelsbanken,3 månader,60 379,,,,
"4,9",Handelsbanken,5 år,71995,1200000,30108,,
"4,9",Swedbank,3 månader,75 645,500000,2/24/2012,,
"4,9",Swedbank,3 månader,75 645,"0,5 mkr",2/24/2012,,
"4,9",Handelsbanken,5 år,79136,600000,Apr-08,,
"4,9",Swedbank,10 år,81592,623000,6/1/2002,,
"4,9",Nordea,Rörlig,85 590,795000,20120112,,
"4,9",Swedbank,Rörlig,90 592,,,,
"4,89",Swedbank,5 år,11849,,,,
"4,89",SBAB,Rörlig,12 139,,,,
"4,89",Swedbank,5 år,18131,3,20090501,,
"4,89",Handelsbanken,5 år,18148,820000,12/1/2011,,
"4,89",Handelsbanken,5 år,19463,,,,
"4,89",Handelsbanken,5 år,57136,182283,2011,,
"4,88",Handelsbanken,10 år,12134,200000,Apr-07,,
